"REF_DATE","GEO","DGUID","Building type","Construction type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units ","0","v1073542640","3.1.3","98.5","","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units ","0","v1073542635","3.2.1","98.6","","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","New build","Index, 2017=100","373","units ","0","v1073542638","3.2.2","99.3","","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Resale","Index, 2017=100","373","units ","0","v1073542641","3.2.3","98.3","","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Condominium apartment","Total, construction type","Index, 2017=100","373","units ","0","v1073542636","3.3.1","99.6","","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Condominium apartment","New build","Index, 2017=100","373","units ","0","v1073542639","3.3.2","99.6","E","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Condominium apartment","Resale","Index, 2017=100","373","units ","0","v1073542642","3.3.3","99.5","","","","1"
"2017-04","Toronto, Ontario","2016S0503535","Total, building type","Total, construction type","Index, 2017=100","373","units ","0","v1073542643","4.1.1","103.3","","","","1"
"2017-04","Toronto, Ontario","2016S0503535","Total, building type","New build","Index, 2017=100","373","units ","0","v1073542646","4.1.2","100.1","","","","1"
"2017-04","Toronto, Ontario","2016S0503535","Total, building type","Resale","Index, 2017=100","373","units ","0","v1073542649","4.1.3","104.4","","","","1"
"2017-04","Toronto, Ontario","2016S0503535","House","Total, construction type","Index, 2017=100","373","units ","0","v1073542644","4.2.1","104.1","","","","1"
"2017-04","Toronto, Ontario","2016S0503535","House","New build","Index, 2017=100","373","units ","0","v1073542647","4.2.2","100.6","","","","1"
"2017-04","Toronto, Ontario","2016S0503535","House","Resale","Index, 2017=100","373","units ","0","v1073542650","4.2.3","105.1","","","","1"
"2017-04","Toronto, Ontario","2016S0503535","Condominium apartment","Total, construction type","Index, 2017=100","373","units ","0","v1073542645","4.3.1","101.3","","","","1"
