"REF_DATE","GEO","DGUID","Interprovincial migrants","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1973/1974","Nova Scotia","2016A000212","In-migrants","Persons","249","units","0","v466504","3.13","26245","","","","0"
"1973/1974","Nova Scotia","2016A000212","Out-migrants","Persons","249","units","0","v466519","3.14","25231","","","","0"
"1973/1974","Nova Scotia","2016A000212","Net-migration","Persons","249","units","0","v466533","3.15","1014","","","","0"
"1973/1974","New Brunswick","2016A000213","In-migrants","Persons","249","units","0","v466505","4.13","21811","","","","0"
"1973/1974","New Brunswick","2016A000213","Out-migrants","Persons","249","units","0","v466520","4.14","19542","","","","0"
"1973/1974","New Brunswick","2016A000213","Net-migration","Persons","249","units","0","v466534","4.15","2269","","","","0"
"1973/1974","Quebec","2016A000224","In-migrants","Persons","249","units","0","v466506","5.13","41175","","","","0"
"1973/1974","Quebec","2016A000224","Out-migrants","Persons","249","units","0","v466521","5.14","53756","","","","0"
"1973/1974","Quebec","2016A000224","Net-migration","Persons","249","units","0","v466535","5.15","-12581","","","","0"
"1973/1974","Ontario","2016A000235","In-migrants","Persons","249","units","0","v466507","6.13","100684","","","","0"
"1973/1974","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v466522","6.14","110486","","","","0"
"1973/1974","Ontario","2016A000235","Net-migration","Persons","249","units","0","v466536","6.15","-9802","","","","0"
"1973/1974","Manitoba","2016A000246","In-migrants","Persons","249","units","0","v466508","7.13","33487","","","","0"
"1973/1974","Manitoba","2016A000246","Out-migrants","Persons","249","units","0","v466523","7.14","35143","","","","0"
"1973/1974","Manitoba","2016A000246","Net-migration","Persons","249","units","0","v466537","7.15","-1656","","","","0"
"1973/1974","Saskatchewan","2016A000247","In-migrants","Persons","249","units","0","v466509","8.13","27887","","","","0"
"1973/1974","Saskatchewan","2016A000247","Out-migrants","Persons","249","units","0","v466524","8.14","38359","","","","0"
"1973/1974","Saskatchewan","2016A000247","Net-migration","Persons","249","units","0","v466538","8.15","-10472","","","","0"
"1973/1974","Alberta","2016A000248","In-migrants","Persons","249","units","0","v466510","9.13","73083","","","","0"
"1973/1974","Alberta","2016A000248","Out-migrants","Persons","249","units","0","v466525","9.14","70172","","","","0"
"1973/1974","Alberta","2016A000248","Net-migration","Persons","249","units","0","v466539","9.15","2911","","","","0"
"1973/1974","British Columbia","2016A000259","In-migrants","Persons","249","units","0","v466497","10.13","89182","","","","0"
