"REF_DATE","GEO","DGUID","Components of population growth","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015/2016","All census metropolitan areas, Canada","","Residual deviation","Both sexes","All ages","Persons","249","units","0","v1078835397","162.10.1.1","-31395","","","","0"
"2015/2016","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Births","Both sexes","All ages","Persons","249","units","0","v1060824301","1.1.1.1","2114","","","","0"
"2016/2017","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Births","Both sexes","All ages","Persons","249","units","0","v1060824301","1.1.1.1","2066","","","","0"
"2017/2018","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Births","Both sexes","All ages","Persons","249","units","0","v1060824301","1.1.1.1","1860","","","","0"
"2018/2019","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Births","Both sexes","All ages","Persons","249","units","0","v1060824301","1.1.1.1","1859","","","","0"
"2019/2020","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Births","Both sexes","All ages","Persons","249","units","0","v1060824301","1.1.1.1","1773","","","","0"
"2015/2016","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Deaths","Both sexes","All ages","Persons","249","units","0","v1060824307","1.2.1.1","1567","","","","0"
"2016/2017","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Deaths","Both sexes","All ages","Persons","249","units","0","v1060824307","1.2.1.1","1604","","","","0"
"2017/2018","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Deaths","Both sexes","All ages","Persons","249","units","0","v1060824307","1.2.1.1","1668","","","","0"
"2018/2019","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Deaths","Both sexes","All ages","Persons","249","units","0","v1060824307","1.2.1.1","1736","","","","0"
"2019/2020","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Deaths","Both sexes","All ages","Persons","249","units","0","v1060824307","1.2.1.1","1747","","","","0"
"2015/2016","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060824640","1.3.1.1","1056","","","","0"
"2016/2017","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060824640","1.3.1.1","693","","","","0"
"2017/2018","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060824640","1.3.1.1","876","","","","0"
"2018/2019","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060824640","1.3.1.1","1134","","","","0"
